Listing.ListingId,Listing.Price.ClosePrice
mrd10801802,360806.47
mrd10966126,361154.97
mrd11165969,363038.9
mrd11185881,352010.3
mrd11198825,1845942.0
mrd11203997,360440.66
mrd11225213,358770.22
mrd11257626,274157.78
mrd11295064,362926.72
mrd11296257,356982.16
mrd11325633,456811.78
mrd11372731,488291.03
mrd11425162,352927.25
mrd11429964,701322.5
mrd11434159,485475.62
mrd11434162,485854.97
mrd11461791,658701.9
mrd11465979,362118.5
mrd11615898,354131.94
mrd11621536,430225.47
mrd11637055,372877.2
mrd11641496,260109.78
mrd11657767,360673.03
mrd11657859,363806.38
mrd11667877,354309.06
mrd11668467,364310.66
mrd11683092,486594.47
mrd11688641,526156.5
mrd11695954,357915.16
mrd11697538,353875.28
mrd11701455,448949.0
mrd11701529,383120.5
mrd11705426,362863.94
mrd11706848,1646043.2
mrd11707457,362382.4
mrd11707537,5181733.0
mrd11707575,226578.22
mrd11709819,357588.72
mrd11713278,836084.06
mrd11715708,1498714.8
mrd11716349,354912.56
mrd11718881,367841.97
mrd11718991,367039.12
mrd11719655,351677.28
mrd11721479,368482.75
mrd11723649,355204.22
mrd11728197,362477.7
mrd11730176,363448.03
mrd11731162,362112.6
mrd11733236,752124.6
mrd11734992,273001.38
mrd11735580,370000.88
mrd11738834,362544.84
mrd11742658,359076.06
mrd11747536,365595.34
mrd11748425,595522.4
mrd11754623,656020.8
mrd11755515,336634.9
mrd11763903,304914.84
mrd11767496,353891.66
mrd11768241,863344.5
mrd11771621,1051280.5
mrd11771842,354591.47
mrd11772577,353512.34
mrd11773253,820852.44
mrd11773945,356091.1
mrd11774271,324481.47
mrd11774661,292499.84
mrd11775452,514895.28
mrd11777824,362728.84
mrd11777930,363528.28
mrd11782583,496584.47
mrd11783177,362621.34
mrd11783733,742849.2
mrd11788663,627495.44
mrd11789191,956209.4
mrd11789347,364756.22
mrd11790598,517431.4
mrd11791389,731922.25
mrd11793708,266468.25
mrd11793731,362843.72
mrd11794303,362745.97
mrd11794844,341120.8
mrd11795091,772061.5
mrd11795286,388629.56
mrd11795376,239619.1
mrd11797631,223495.19
mrd11797899,354492.7
mrd11798018,362063.84
mrd11798743,293188.84
mrd11799145,278706.66
mrd11799198,323374.3
mrd11799205,313753.66
mrd11800712,365065.97
mrd11801292,316565.6
mrd11803807,369600.66
mrd11806324,327937.9
mrd11806595,362454.16
mrd11807441,372860.97
mrd11808647,376915.9
mrd11809085,523098.03
mrd11810329,362967.06
mrd11810464,374806.5
mrd11811099,751416.0
mrd11811156,279773.4
mrd11811834,266951.66
mrd11812050,285540.7
mrd11812106,217021.83
mrd11812297,361093.34
mrd11812463,216757.3
mrd11813462,314667.7
mrd11816152,409887.4
mrd11816196,353465.6
mrd11816252,368075.97
mrd11817462,228083.5
mrd11817871,15771488.0
mrd11818570,368462.66
mrd11818576,282663.4
mrd11818998,1214643.8
mrd11820164,366548.84
mrd11821001,639356.25
mrd11821076,1330256.8
mrd11822234,387680.03
mrd11822649,1385716.5
mrd11824833,306233.34
mrd11824849,336855.78
mrd11827229,356499.5
mrd11827257,344724.6
mrd11829349,296267.34
mrd11830042,361065.56
mrd11830824,952082.6
mrd11831846,356377.53
mrd11832479,390682.06
mrd11832618,563071.75
mrd11833219,546295.4
mrd11833324,635572.3
